records;tweet;hashtag;mentions;reply;like;retweet;date;time
137;Brilliant as individuals. Unstoppable as a nation. Unlimited Together. #justdoitpic.twitter.com/oLiFgxsSZc;['justdoit'];;19.0;2600;1200; 20 Aug 2016;4:12 PM
138;Unlimited Together. #justdoitpic.twitter.com/VdZPuDz9rC;['justdoit'];;20.0;3200;1100; 20 Aug 2016;1:32 PM
139;Unlimited Teamwork. @UgHLyDuCkLiN @AllysonFelix @tibartoletta http://nike.com/justdoit  #justdoitpic.twitter.com/idqTOpuM9q;['justdoit'];['UgHLyDuCkLiN', 'allysonfelix', 'tibartoletta'];10.0;635;190; 19 Aug 2016;7:41 PM
140;Ready, set, Mo. @Mo_Farah http://gonike.me/justdoit  #justdoitpic.twitter.com/hhkdzpwmPU;['justdoit'];['Mo_Farah'];5.0;588;186; 19 Aug 2016;5:26 PM
141;“You could do it. Anyone could do it.” @Mo_Farah http://gonike.me/justdoit  #justdoithttps://amp.twimg.com/v/7a064817-3cbb-499f-acee-801cf09a19a7 …;['justdoit'];['Mo_Farah'];5.0;637;260; 19 Aug 2016;11:17 AM
142;First. Over. All. Dalilah Muhammad http://nike.com/justdoit  #justdoitpic.twitter.com/8wtf0dr3XV;['justdoit'];;7.0;838;218; 18 Aug 2016;6:52 PM
143;World's Greatest. Again. @AshtonJEaton http://nike.com/justdoit  #justdoitpic.twitter.com/63rOzdqEhV;['justdoit'];['AshtonJEaton'];42.0;7300;2200; 18 Aug 2016;6:04 PM
144;When the competition heats up. @AshtonJEaton http://gonike.me/justdoit  #justdoitpic.twitter.com/M3sUwv2Kyq;['justdoit'];['AshtonJEaton'];5.0;493;166; 18 Aug 2016;12:41 PM
145;It only takes one dance @Bri_Rollin http://nike.com/justdoit  #justdoitpic.twitter.com/oDU8Gpu0CJ;['justdoit'];['Bri_Rollin'];9.0;733;273; 17 Aug 2016;7:05 PM
146;Double on the double  . #justdoit;['justdoit'];;12.0;1100;493; 17 Aug 2016;6:40 PM
147;Warriors fight through. @Warrior_omz http://nike.com/justdoit  #justdoitpic.twitter.com/kIoW920YsM;['justdoit'];['Warrior_omz'];5.0;777;363; 16 Aug 2016;7:01 PM
148;Head over heels .  @Simone_Biles http://nike.com/justdoit  #justdoitpic.twitter.com/EiwP8KHKwN;['justdoit'];['Simone_Biles'];33.0;7000;1600; 16 Aug 2016;11:24 AM
149;Triple, double. @Taylored2jump http://nike.com/justdoit  #justdoitpic.twitter.com/2hmkliFR4f;['justdoit'];['Taylored2jump'];10.0;426;138; 16 Aug 2016;9:46 AM
150;Goals go up. Records come down. @ThiagoBrazPV http://nike.com/justdoit  #justdoit;['justdoit'];['ThiagoBrazPV'];5.0;437;135; 15 Aug 2016;8:01 PM
151;Showstopping @Simone_Biles. http://Nike.com/justdoit  #justdoitpic.twitter.com/qTRdZInQh9;['justdoit'];['Simone_Biles'];14.0;2600;536; 14 Aug 2016;11:43 AM
152;A new queen is crowned. #justdoit;['justdoit'];;12.0;1600;399; 13 Aug 2016;7:24 PM
153;.@nike and get back up.;;['Nike'];6.0;698;266; 13 Aug 2016;5:58 PM
154;She writes her own history. @UgHLyDuCkLiN http://gonike.me/justdoit  #justdoitpic.twitter.com/g8qAFqLhzV;['justdoit'];['UgHLyDuCkLiN'];4.0;531;183; 13 Aug 2016;4:56 PM
155;Put ‘em up. Knock ‘em down. @Mo_Farah http://gonike.me/justdoit  #justdoitpic.twitter.com/Zp7VV7Smo9;['justdoit'];['Mo_Farah'];9.0;1500;656; 12 Aug 2016;7:45 PM
156;The music only stops when you do. @realshellyannfp http://gonike.me/justdoit  #justdoitpic.twitter.com/IzYfbq9R4I;['justdoit'];['realshellyannfp'];16.0;1400;861; 12 Aug 2016;6:45 PM
157;When you make your dreams a waking reality. @Simone_Biles http://nike.com/justdoit  #justdoitpic.twitter.com/6EYNCkw66F;['justdoit'];['Simone_Biles'];39.0;5400;1300; 11 Aug 2016;2:06 PM
158;Step on and step up. @neymarjr http://gonike.me/justdoit  #justdoitpic.twitter.com/lpiEDFh3aa;['justdoit'];['neymarjr'];8.0;993;363; 10 Aug 2016;5:45 PM
159;The grace to lead. http://gonike.me/justdoit  #justdoitpic.twitter.com/5VzO2GAkoA;['justdoit'];;28.0;5500;1300; 9 Aug 2016;2:18 PM
160;Who’s the @KevinHart4Real to your @SerenaWilliams? Tag your other half and get to work: http://gonike.me/TheHartSerenaWorkout …https://amp.twimg.com/v/fc0aadb6-481a-4bb2-9e54-b4fca5302fd7 …;;['KevinHart4real', 'serenawilliams'];29.0;1200;430; 16 Jul 2016;9:58 AM
161;Greatness is contagious. #SparkBrilliance #justdoitpic.twitter.com/1bPQ1fUCLl;['SparkBrilliance', 'justdoit'];;24.0;1900;877; 13 Jul 2016;12:00 AM
162;Stand as one. Play as one. Win as one. #justdoitpic.twitter.com/nD5h3meNif;['justdoit'];;32.0;6000;3600; 10 Jul 2016;2:37 PM
163;"To-Do List:
 Download Nike+ Training Club: http://gonike.me/NikeTrainingClub_App …
 Choose workout
 Crush workoutpic.twitter.com/p3ujpBTwsm";;;12.0;599;472; 29 Jun 2016;8:42 AM
164;#AlwaysBelievehttps://amp.twimg.com/v/76b1af85-b658-4b14-a95a-d705ea7266a6 …;['AlwaysBelieve'];;532.0;73000;55000; 19 Jun 2016;7:39 PM
165;"""You can always give it more than what you think you have."" @Mo_Farah #justdoit.https://amp.twimg.com/v/683a806b-be13-4a90-bcfb-eb4eececa88d …";['justdoit'];['Mo_Farah'];20.0;1600;722; 7 Jun 2016;6:39 PM
166;"Brilliance collides.

Introducing the new @Neymarjr and @Jumpman23 NJR x JORDAN Performance football collection.pic.twitter.com/cb5oI6LskY";;['neymarjr', 'Jumpman23'];70.0;5900;2600; 1 Jun 2016;9:11 PM
167;Watch how the 1st sub-4 mile changed Phil Knight's life. The incredible Roger #BannisterDoc film is now available:http://gonike.me/Bannister ;['BannisterDoc'];;7.0;251;104; 12 Apr 2016;11:27 AM
168;Before the Swoosh, there was just a runner with $50 and an idea. Phil Knight's memoir SHOE DOG tells the story.pic.twitter.com/37RMGghAI0;;;35.0;2800;1200; 26 Apr 2016;12:15 PM
169;In Kobe’s last game, we’re reminded to always love the hate. #Mambaday http://gonike.me/KobeMambaDayVideo …;['Mambaday'];;130.0;13000;11000; 13 Apr 2016;8:28 AM
170;Legendary shoes for a legendary career. Make your own Kobe XI #MambaDay iD tomorrow. http://gonike.me/MambaDayiD pic.twitter.com/B9pGg9UnQv;['MambaDay'];;56.0;4900;2000; 12 Apr 2016;8:52 PM
171;A revolution in motion. The #NikeFree family can match you move for move. Get yours at http://nike.com/free .pic.twitter.com/ncTYly24Su;['NikeFree'];;11.0;1100;424; 7 Apr 2016;9:09 AM
172;大きな夢は、小さく見える。#justdoitpic.twitter.com/VOysKejxUb;['justdoit'];;27.0;961;381; 26 Mar 2016;11:23 PM
173;Your first, latest or only pair. Just wear and share your Air on 03.26. Find out more at http://www.nike.com/airmax pic.twitter.com/3engLtjDPQ;;;34.0;2400;1200; 24 Mar 2016;4:27 PM
174;Forget what tennis used to be. The NikeCourt Air Zoom Ultrafly. Available today. http://swoo.sh/21ZUOLC pic.twitter.com/LlwdrrcPdh;;;28.0;648;307; 9 Mar 2016;7:15 AM
175;Stoked to be joining the @Nikecourt team! Let's change the future of tennis together. pic.twitter.com/UdlXwc8iml;;['Nikecourt'];22.0;777;234; 8 Mar 2016;9:25 AM
176;Are you ready? @NIKEiD #airmaxhttps://amp.twimg.com/v/c3273a2d-007f-4553-a041-a93fcc81e1a6 …;['airmax'];['NIKEiD'];24.0;1500;677; 3 Mar 2016;12:59 PM
177;"Running will never feel the same.

Find the Nike LunarEpic Flyknit at http://www.nike.com/lunarepic . #LunarEpichttps://amp.twimg.com/v/ec2141cf-e4f0-46d0-92f3-078ad64cffa0 …";['LunarEpic'];;34.0;1100;564; 3 Mar 2016;8:06 AM
178;"We don’t need another running shoe.

Coming tomorrow to http://nike.com/lunarepic . #LunarEpichttps://amp.twimg.com/v/2d70689b-550d-4199-81af-8d3df23896df …";['LunarEpic'];;15.0;734;292; 2 Mar 2016;12:35 PM
179;Stay a villain and dominate long enough to become the hero. #KOBEpic.twitter.com/1oW3IAKdAI;['KOBE'];;34.0;4300;3100; 14 Feb 2016;8:42 PM
180;"Play like a star.

Tonight @DeMar_deRozan wearing his #kobe11 Elite iD. Customize on NIKEiD. http://swoo.sh/241FkbW pic.twitter.com/jPcOHQunud";['kobe11'];['DeMar_DeRozan'];35.0;2000;713; 14 Feb 2016;6:37 PM
181;The plus means more. Nike Speed Drops. Exclusively for Nike+ Members. http://nike.com/football  #fastestwillrisehttps://amp.twimg.com/v/7f703d2d-0175-48ff-827b-3eef72fd992d …;['fastestwillrise'];;34.0;2100;1100; 11 Feb 2016;10:51 AM
182;The SNKRS XPRESS has arrived in Toronto to bring the best of Nike Basketball, Jordan Brand and Nike Sportswear.https://amp.twimg.com/v/f9e6b34a-6d9e-4eeb-a5a8-ff78010d8e10 …;;;90.0;1200;582; 8 Feb 2016;1:12 PM
183;"Just when they think you don’t have it anymore, you take it all. @Broncos #justdoit
http://gonike.me/Broncos pic.twitter.com/dURnw81Tw5";['justdoit'];['Broncos'];66.0;3400;1700; 7 Feb 2016;7:29 PM
184;2 sisters. 1 bet. #nikewomen presents Margot vs Lily, an original show series. #betterforit http://gonike.me/MargotVsLilytw https://amp.twimg.com/v/7ac19a35-1257-44ec-bed0-3c96a8dcb9e1 …;['nikewomen', 'betterforit'];;25.0;1100;405; 25 Jan 2016;8:41 AM
185;Engineered warmth. Body-mapped knit. The men and women's Nike Tech Knit Collection http://swoo.sh/1Qhkiyp  #techpackhttps://amp.twimg.com/v/7afe4688-fde3-4eb1-8c48-10b112322130 …;['techpack'];;24.0;845;332; 21 Jan 2016;11:53 AM
186;"Hello World!!!!  
Let's be great together.
Click on this link to join my movement http://gonike.me/MoveWithHart ";;;43.0;711;185; 16 Jan 2016;11:06 AM
187;“Why not be the best version of myself possible?” - @KevinHart4Real #TrainWithHart #TodayIGetStrongerhttps://amp.twimg.com/v/ca796f29-2108-4ddb-9f2e-b52a0e2ab2de …;['TrainWithHart', 'TodayIGetStronger'];['KevinHart4real'];106.0;8100;5800; 12 Jan 2016;6:10 AM
188;Innovation can draw inspiration from any athlete. Matthew wrote to us. Our reply was FlyEase http://gonike.me/kidsFLYEASE https://amp.twimg.com/v/9cf2fc76-f43b-4eea-98ec-7b84c32383cb …;;;21.0;763;329; 8 Jan 2016;11:29 AM
189;Still The Kid. Forever a Legend.pic.twitter.com/wBpxe3xe7W;;;37.0;3100;2400; 6 Jan 2016;3:07 PM
190;"LeBron
Kobe
KD
Kyrie
PG
AD
Elena

There’s no one way to #BringYourGame

Full film: http://www.nike.com/basketball https://amp.twimg.com/v/5713b6a7-35e2-4717-a4f6-ffeb4c7d8d4a …";['BringYourGame'];;107.0;8000;4900; 25 Dec 2015;9:03 AM
191; #BringYourGamehttps://amp.twimg.com/v/29c58e81-c16d-4fae-8c92-c3d5080da450 …;['BringYourGame'];;19.0;1000;497; 18 Dec 2015;9:20 AM
192;Family business. #BringYourGamepic.twitter.com/uuLbtyFuOS;['BringYourGame'];;57.0;3800;2600; 17 Dec 2015;9:00 AM
193;"Nothing beats a cold sweat.

Last weekend, @niketraining brought 48 athletes to the #GetOutHere Challenge Finals.pic.twitter.com/utU3nJb0aF";['GetOutHere'];['NikeTraining'];28.0;2300;554; 15 Dec 2015;9:36 AM
194;LIVE on #Periscope: Live #KOBE Reveal  https://www.pscp.tv/w/aT8z2jMwNDcyfDFEWHh5Qmd3V2JkS01pvnEtVP8kGkl46U0kMDEJY9FAGwIaLREMCGeEfvKv9A== …;['Periscope', 'KOBE'];;9.0;325;161; 14 Dec 2015;2:02 PM
195;Champion. Ambassador. Sportswoman. Congratulations @SerenaWilliams on another year to remember.pic.twitter.com/jWwUzYsybm;;['serenawilliams'];15.0;916;405; 14 Dec 2015;7:38 AM
196;Introducing Innovation x Innovators: ACG. Explore the design process behind the new #ACG: http://vimeo.com/nikelab/acg pic.twitter.com/5OYFbIxOKY;['ACG'];;19.0;321;167; 1 Dec 2015;10:07 AM
197;My road to recovery was long and hard but worth every minute – I’m stronger for ithttp://news.nike.com/news/pa8157614d3e7256631253fb30d6e9379/sneak_peek …;;;32.0;745;339; 3 Nov 2015;9:57 AM
198;Crown taken. #FearlessAccelerationpic.twitter.com/3UFec4qbGe;['FearlessAcceleration'];;18.0;1500;710; 1 Nov 2015;9:34 PM
199;"Roads are closed. School is cancelled. #getouthere

Gear up at http://Nike.com/getouthere https://amp.twimg.com/v/5227f84e-2302-411f-9cde-900d11a6f3f3 …";['getouthere'];;910.0;54000;41000; 29 Oct 2015;11:10 AM
200;"Designed to change lives.

This is the @OHSUDoernbecher Freestyle Collection: http://news.nike.com pic.twitter.com/rCkb6o4xWW";;['OHSUDoernbecher'];54.0;1800;1100; 23 Oct 2015;5:11 PM
201;"If you can imagine the future, you can create it.
⠀⠀⠀ ⠀
Find out about pair no. 1 at http://gonike.me/mag pic.twitter.com/Gi6UMNsNML";;;571.0;13000;13000; 21 Oct 2015;2:09 PM
202;Michael J. Fox models the first self-lacing @Nike Magpic.twitter.com/bgPWM5CKBE;;['Nike'];589.0;23000;27000; 21 Oct 2015;1:27 PM
203;This is real. This is today. Coming spring 2016. cc: @RealMikeFox @Nikepic.twitter.com/KPswXNojvA;;['realmikefox', 'Nike'];464.0;16000;17000; 21 Oct 2015;12:05 PM
204;The letter I received from Tinker today. Thanks @Nikepic.twitter.com/UIolXrkUVC;;['Nike'];588.0;38000;29000; 21 Oct 2015;11:11 AM
205;.@realmikefox see you tomorrow.;;['realmikefox'];1100.0;18000;18000; 20 Oct 2015;6:09 PM
206;Introducing the Nike Tech Book. http://nike.com/techbook  #techpack #sneakerbootshttps://amp.twimg.com/v/889ad3af-b297-4476-bc3c-a9ac5928769b …;['techpack', 'sneakerboots'];;44.0;774;432; 15 Oct 2015;8:04 AM
207;“We are accelerating the pace of innovation across every area of our business…” – Mark Parker, President and CEOhttp://swoo.sh/1PsaAdw ;;;17.0;420;207; 14 Oct 2015;10:54 AM
208;"500 goals. One weapon. #Mercurial @Cristiano

Explore the boots that made the difference: http://gonike.me/Football_App pic.twitter.com/p3vChYtIP6";['Mercurial'];['Cristiano'];24.0;1600;1600; 30 Sep 2015;12:14 PM
209;"All you need to do is run. #justdoit
http://Nike.com/running https://amp.twimg.com/v/a4c7ad70-3f80-49da-ae00-47ec4251035b …";['justdoit'];;26.0;1300;825; 25 Sep 2015;8:04 AM
210;A little bit louder now. @WinTheDayhttps://amp.twimg.com/v/db69ce9d-c94e-478c-8f26-01f46b16905a …;;['wintheday'];113.0;5700;4800; 12 Sep 2015;8:00 AM
211;Records are earned before they’re broken. @AshtonJEaton finds inner strength in the pursuit. #niketraininghttps://amp.twimg.com/v/885b8fe5-9787-44b8-8091-f4ebc94d917e …;['niketraining'];['AshtonJEaton'];13.0;721;440; 27 Aug 2015;9:21 AM
212;Nike Tech Pack presents the Fall '15 Nike Tech Fleece Collection: http://nike.com/techpack  #techpackhttps://amp.twimg.com/v/6271592d-2c82-40e1-8966-1f16ba7f5f39 …;['techpack'];;25.0;467;263; 27 Aug 2015;7:02 AM
213;If you want what they have, you’re going to have to take it from them. Steal the Show.pic.twitter.com/e3wTKznI0h;;;12.0;726;341; 21 Aug 2015;4:01 PM
214;Two decades later, it's become part of our tradition. Can it happen again? 8.24 on Snapchat: Nike_NYC #StealTheShowhttps://amp.twimg.com/v/10b9cf44-d200-40f3-8c81-6fefaced4d0c …;['StealTheShow'];;42.0;1200;712; 20 Aug 2015;4:52 PM
215;The gym: Where pro surfer Nat Young finds his strength in a different kind of set. #niketraininghttps://amp.twimg.com/v/4baad4a1-54f5-4808-927d-7f6c12aab82c …;['niketraining'];;14.0;503;223; 29 Jul 2015;9:16 AM
216;It's becoming routine. @MikeTrout knows how to Ignite the Night, and earns another #ASG MVP.pic.twitter.com/mK3fYDZ17C;['ASG'];['MikeTrout'];19.0;1500;870; 14 Jul 2015;8:37 PM
217;Things start to get interesting at 21. @serenawilliams #nikecourtpic.twitter.com/fK8f2C86UL;['nikecourt'];['serenawilliams'];40.0;2700;2200; 11 Jul 2015;7:36 AM
218;It takes more than one star to bring home your third. #NoMaybes #uswnt http://Nike.com/WomensSoccer https://amp.twimg.com/v/d1153d2a-8de1-4193-90d5-e3bfe2316af6 …;['NoMaybes', 'uswnt'];;149.0;13000;7100; 5 Jul 2015;5:50 PM
219;Just do it. #NoMaybes #uswnt http://Nike.com/WomensSoccer pic.twitter.com/wpFDJ3dtuJ;['NoMaybes', 'uswnt'];;31.0;3600;2000; 5 Jul 2015;3:45 PM
